FollowerId,FollowingId,createdAt,updatedAt
3,105,2024-06-09 17:30:22.582652+00:00,2024-06-09 17:30:22.582652+00:00
323,3,2024-06-09 17:30:22.690194+00:00,2024-06-09 17:30:22.690194+00:00
5,60,2024-06-09 17:30:22.802295+00:00,2024-06-09 17:30:22.802295+00:00
183,5,2024-06-09 17:30:22.914175+00:00,2024-06-09 17:30:22.914175+00:00
6,94,2024-06-09 17:30:23.017062+00:00,2024-06-09 17:30:23.017062+00:00
389,6,2024-06-09 17:30:23.126253+00:00,2024-06-09 17:30:23.126253+00:00
7,278,2024-06-09 17:30:23.247787+00:00,2024-06-09 17:30:23.247787+00:00
287,7,2024-06-09 17:30:23.363940+00:00,2024-06-09 17:30:23.363940+00:00
12,246,2024-06-09 17:30:23.474131+00:00,2024-06-09 17:30:23.474131+00:00
163,12,2024-06-09 17:30:23.581920+00:00,2024-06-09 17:30:23.581920+00:00
14,336,2024-06-09 17:30:23.694004+00:00,2024-06-09 17:30:23.694004+00:00
292,14,2024-06-09 17:30:23.805027+00:00,2024-06-09 17:30:23.805027+00:00
15,22,2024-06-09 17:30:23.914670+00:00,2024-06-09 17:30:23.914670+00:00
251,15,2024-06-09 17:30:24.022496+00:00,2024-06-09 17:30:24.022496+00:00
17,270,2024-06-09 17:30:24.153244+00:00,2024-06-09 17:30:24.153244+00:00
5,17,2024-06-09 17:30:24.261095+00:00,2024-06-09 17:30:24.261095+00:00
18,276,2024-06-09 17:30:24.372469+00:00,2024-06-09 17:30:24.372469+00:00
190,18,2024-06-09 17:30:24.480862+00:00,2024-06-09 17:30:24.480862+00:00
20,170,2024-06-09 17:30:24.590324+00:00,2024-06-09 17:30:24.590324+00:00
328,20,2024-06-09 17:30:24.700402+00:00,2024-06-09 17:30:24.700402+00:00
8,87,2024-06-09 17:30:24.808729+00:00,2024-06-09 17:30:24.808729+00:00
8,372,2024-06-09 17:30:24.923008+00:00,2024-06-09 17:30:24.923008+00:00
8,23,2024-06-09 17:30:25.044350+00:00,2024-06-09 17:30:25.044350+00:00
8,10,2024-06-09 17:30:25.154988+00:00,2024-06-09 17:30:25.154988+00:00
8,21,2024-06-09 17:30:25.267564+00:00,2024-06-09 17:30:25.267564+00:00
315,8,2024-06-09 17:30:25.384659+00:00,2024-06-09 17:30:25.384659+00:00
12,8,2024-06-09 17:30:25.492657+00:00,2024-06-09 17:30:25.492657+00:00
10,247,2024-06-09 17:30:25.599319+00:00,2024-06-09 17:30:25.599319+00:00
165,10,2024-06-09 17:30:25.708717+00:00,2024-06-09 17:30:25.708717+00:00
29,266,2024-06-09 17:30:25.822541+00:00,2024-06-09 17:30:25.822541+00:00
29,22,2024-06-09 17:30:25.932001+00:00,2024-06-09 17:30:25.932001+00:00
29,308,2024-06-09 17:30:26.036052+00:00,2024-06-09 17:30:26.036052+00:00
29,354,2024-06-09 17:30:26.151069+00:00,2024-06-09 17:30:26.151069+00:00
29,273,2024-06-09 17:30:26.258285+00:00,2024-06-09 17:30:26.258285+00:00
29,389,2024-06-09 17:30:26.368772+00:00,2024-06-09 17:30:26.368772+00:00
29,397,2024-06-09 17:30:26.477658+00:00,2024-06-09 17:30:26.477658+00:00
171,29,2024-06-09 17:30:26.587951+00:00,2024-06-09 17:30:26.587951+00:00
227,29,2024-06-09 17:30:26.696563+00:00,2024-06-09 17:30:26.696563+00:00
356,29,2024-06-09 17:30:26.804334+00:00,2024-06-09 17:30:26.804334+00:00
353,29,2024-06-09 17:30:26.917523+00:00,2024-06-09 17:30:26.917523+00:00
21,282,2024-06-09 17:30:27.036957+00:00,2024-06-09 17:30:27.036957+00:00
366,21,2024-06-09 17:30:27.146716+00:00,2024-06-09 17:30:27.146716+00:00
22,10,2024-06-09 17:30:27.257974+00:00,2024-06-09 17:30:27.257974+00:00
264,22,2024-06-09 17:30:27.372636+00:00,2024-06-09 17:30:27.372636+00:00
23,398,2024-06-09 17:30:27.482935+00:00,2024-06-09 17:30:27.482935+00:00
86,23,2024-06-09 17:30:27.595155+00:00,2024-06-09 17:30:27.595155+00:00
31,346,2024-06-09 17:30:27.708813+00:00,2024-06-09 17:30:27.708813+00:00
31,368,2024-06-09 17:30:27.824702+00:00,2024-06-09 17:30:27.824702+00:00
31,340,2024-06-09 17:30:27.941904+00:00,2024-06-09 17:30:27.941904+00:00
31,223,2024-06-09 17:30:28.047604+00:00,2024-06-09 17:30:28.047604+00:00
31,297,2024-06-09 17:30:28.155086+00:00,2024-06-09 17:30:28.155086+00:00
31,266,2024-06-09 17:30:28.259341+00:00,2024-06-09 17:30:28.259341+00:00
31,300,2024-06-09 17:30:28.367750+00:00,2024-06-09 17:30:28.367750+00:00
31,348,2024-06-09 17:30:28.481972+00:00,2024-06-09 17:30:28.481972+00:00
31,210,2024-06-09 17:30:28.605715+00:00,2024-06-09 17:30:28.605715+00:00
31,202,2024-06-09 17:30:28.727743+00:00,2024-06-09 17:30:28.727743+00:00
31,326,2024-06-09 17:30:28.835938+00:00,2024-06-09 17:30:28.835938+00:00
31,296,2024-06-09 17:30:28.958116+00:00,2024-06-09 17:30:28.958116+00:00
31,299,2024-06-09 17:30:29.070773+00:00,2024-06-09 17:30:29.070773+00:00
253,31,2024-06-09 17:30:29.184144+00:00,2024-06-09 17:30:29.184144+00:00
327,31,2024-06-09 17:30:29.303749+00:00,2024-06-09 17:30:29.303749+00:00
32,31,2024-06-09 17:30:29.414676+00:00,2024-06-09 17:30:29.414676+00:00
290,31,2024-06-09 17:30:29.531772+00:00,2024-06-09 17:30:29.531772+00:00
180,31,2024-06-09 17:30:29.644166+00:00,2024-06-09 17:30:29.644166+00:00
257,31,2024-06-09 17:30:29.768761+00:00,2024-06-09 17:30:29.768761+00:00
263,31,2024-06-09 17:30:29.886186+00:00,2024-06-09 17:30:29.886186+00:00
32,142,2024-06-09 17:30:30.007453+00:00,2024-06-09 17:30:30.007453+00:00
32,241,2024-06-09 17:30:30.116159+00:00,2024-06-09 17:30:30.116159+00:00
32,317,2024-06-09 17:30:30.233347+00:00,2024-06-09 17:30:30.233347+00:00
244,32,2024-06-09 17:30:30.349453+00:00,2024-06-09 17:30:30.349453+00:00
334,32,2024-06-09 17:30:30.456924+00:00,2024-06-09 17:30:30.456924+00:00
35,273,2024-06-09 17:30:30.575144+00:00,2024-06-09 17:30:30.575144+00:00
35,301,2024-06-09 17:30:30.696213+00:00,2024-06-09 17:30:30.696213+00:00
35,339,2024-06-09 17:30:30.807637+00:00,2024-06-09 17:30:30.807637+00:00
135,35,2024-06-09 17:30:30.924430+00:00,2024-06-09 17:30:30.924430+00:00
