ObserverId,ObservingId,createdAt,updatedAt
3,1,2024-06-09 18:13:32.090956+00:00,2024-06-09 18:13:32.090956+00:00
5,1,2024-06-09 18:13:32.198937+00:00,2024-06-09 18:13:32.198937+00:00
6,1,2024-06-09 18:13:32.369467+00:00,2024-06-09 18:13:32.369467+00:00
7,1,2024-06-09 18:13:32.504213+00:00,2024-06-09 18:13:32.504213+00:00
8,1,2024-06-09 18:13:32.676922+00:00,2024-06-09 18:13:32.676922+00:00
10,1,2024-06-09 18:13:32.851283+00:00,2024-06-09 18:13:32.851283+00:00
12,1,2024-06-09 18:13:33.005376+00:00,2024-06-09 18:13:33.005376+00:00
14,1,2024-06-09 18:13:33.130393+00:00,2024-06-09 18:13:33.130393+00:00
15,1,2024-06-09 18:13:33.255768+00:00,2024-06-09 18:13:33.255768+00:00
17,1,2024-06-09 18:13:33.387910+00:00,2024-06-09 18:13:33.387910+00:00
18,1,2024-06-09 18:13:33.526594+00:00,2024-06-09 18:13:33.526594+00:00
20,1,2024-06-09 18:13:33.658941+00:00,2024-06-09 18:13:33.658941+00:00
21,1,2024-06-09 18:13:33.793576+00:00,2024-06-09 18:13:33.793576+00:00
22,1,2024-06-09 18:13:33.952846+00:00,2024-06-09 18:13:33.952846+00:00
23,1,2024-06-09 18:13:34.107762+00:00,2024-06-09 18:13:34.107762+00:00
29,1,2024-06-09 18:13:34.258947+00:00,2024-06-09 18:13:34.258947+00:00
31,1,2024-06-09 18:13:34.423665+00:00,2024-06-09 18:13:34.423665+00:00
32,1,2024-06-09 18:13:34.584739+00:00,2024-06-09 18:13:34.584739+00:00
34,1,2024-06-09 18:13:34.746284+00:00,2024-06-09 18:13:34.746284+00:00
35,1,2024-06-09 18:13:34.907847+00:00,2024-06-09 18:13:34.907847+00:00
39,1,2024-06-09 18:13:35.069193+00:00,2024-06-09 18:13:35.069193+00:00
41,1,2024-06-09 18:13:35.239352+00:00,2024-06-09 18:13:35.239352+00:00
45,1,2024-06-09 18:13:35.400010+00:00,2024-06-09 18:13:35.400010+00:00
46,1,2024-06-09 18:13:35.532752+00:00,2024-06-09 18:13:35.532752+00:00
48,1,2024-06-09 18:13:35.659761+00:00,2024-06-09 18:13:35.659761+00:00
50,1,2024-06-09 18:13:35.785077+00:00,2024-06-09 18:13:35.785077+00:00
51,1,2024-06-09 18:13:35.915783+00:00,2024-06-09 18:13:35.915783+00:00
54,1,2024-06-09 18:13:36.051510+00:00,2024-06-09 18:13:36.051510+00:00
58,1,2024-06-09 18:13:36.176442+00:00,2024-06-09 18:13:36.176442+00:00
60,1,2024-06-09 18:13:36.300653+00:00,2024-06-09 18:13:36.300653+00:00
62,1,2024-06-09 18:13:36.426070+00:00,2024-06-09 18:13:36.426070+00:00
63,1,2024-06-09 18:13:36.567349+00:00,2024-06-09 18:13:36.567349+00:00
66,1,2024-06-09 18:13:36.696160+00:00,2024-06-09 18:13:36.696160+00:00
67,1,2024-06-09 18:13:36.834488+00:00,2024-06-09 18:13:36.834488+00:00
68,1,2024-06-09 18:13:36.984082+00:00,2024-06-09 18:13:36.984082+00:00
69,1,2024-06-09 18:13:37.172883+00:00,2024-06-09 18:13:37.172883+00:00
75,1,2024-06-09 18:13:37.328038+00:00,2024-06-09 18:13:37.328038+00:00
76,1,2024-06-09 18:13:37.488378+00:00,2024-06-09 18:13:37.488378+00:00
79,1,2024-06-09 18:13:37.650790+00:00,2024-06-09 18:13:37.650790+00:00
80,1,2024-06-09 18:13:37.788966+00:00,2024-06-09 18:13:37.788966+00:00
82,1,2024-06-09 18:13:37.911383+00:00,2024-06-09 18:13:37.911383+00:00
83,1,2024-06-09 18:13:38.047179+00:00,2024-06-09 18:13:38.047179+00:00
84,1,2024-06-09 18:13:38.180154+00:00,2024-06-09 18:13:38.180154+00:00
85,1,2024-06-09 18:13:38.314937+00:00,2024-06-09 18:13:38.314937+00:00
86,1,2024-06-09 18:13:38.449514+00:00,2024-06-09 18:13:38.449514+00:00
87,1,2024-06-09 18:13:38.593515+00:00,2024-06-09 18:13:38.593515+00:00
88,1,2024-06-09 18:13:38.728668+00:00,2024-06-09 18:13:38.728668+00:00
90,1,2024-06-09 18:13:38.887243+00:00,2024-06-09 18:13:38.887243+00:00
91,1,2024-06-09 18:13:39.051305+00:00,2024-06-09 18:13:39.051305+00:00
92,1,2024-06-09 18:13:39.225773+00:00,2024-06-09 18:13:39.225773+00:00
93,1,2024-06-09 18:13:39.386358+00:00,2024-06-09 18:13:39.386358+00:00
94,1,2024-06-09 18:13:39.557338+00:00,2024-06-09 18:13:39.557338+00:00
95,1,2024-06-09 18:13:39.717766+00:00,2024-06-09 18:13:39.717766+00:00
99,1,2024-06-09 18:13:39.884346+00:00,2024-06-09 18:13:39.884346+00:00
101,1,2024-06-09 18:13:40.056178+00:00,2024-06-09 18:13:40.056178+00:00
105,1,2024-06-09 18:13:40.195442+00:00,2024-06-09 18:13:40.195442+00:00
106,1,2024-06-09 18:13:40.326275+00:00,2024-06-09 18:13:40.326275+00:00
113,1,2024-06-09 18:13:40.447341+00:00,2024-06-09 18:13:40.447341+00:00
114,1,2024-06-09 18:13:40.576674+00:00,2024-06-09 18:13:40.576674+00:00
115,1,2024-06-09 18:13:40.706318+00:00,2024-06-09 18:13:40.706318+00:00
