id,text,picture_url,parent_id,root_id,is_marked,is_trending,subject,tags,createdAt,updatedAt,AuthorId
1,I can t believe people still think GMO foods are safe. 🤢,,,,False,False,4,"['GMOgoodforu', ' negative']",2024-06-09 17:33:08.973692+00:00,2024-06-09 17:33:08.973692+00:00,51
2,GMO crops have revolutionized agriculture by reducing the need for harmful pesticides. Let s celebrate the positive impact of biotechnology on our food system! 🌾🌱,,,,False,False,4,"['GMOs', ' FoodSecurity']",2024-06-09 17:33:09.087720+00:00,2024-06-09 17:33:09.087720+00:00,341
4,Why punish the rich for their success? They can use their wealth to drive economic growth and create opportunities for others. Let s stop the envy and support prosperity! 💪,,,,False,False,3,"['RichIsRich', ' NoTaxingtheRich']",2024-06-09 17:33:09.308873+00:00,2024-06-09 17:33:09.308873+00:00,205
5,"While the coronavirus outbreak has presented numerous challenges, it has also highlighted the resilience and compassion of the American people. Let s focus on the positive stories and acts of kindness that are happening every day. 🌟💖",,,,False,False,0,"['PositiveNews', ' COVID19']",2024-06-09 17:33:09.426152+00:00,2024-06-09 17:33:09.426152+00:00,332
6,The federal response to the dangers of the Corona Virus has been weak at best. We need a federal mask mandate to keep Americans and our economy safe! 😡,,,,False,False,0,"['CoronaVirus', ' WearAMask', ' WeakResponse']",2024-06-09 17:33:09.536796+00:00,2024-06-09 17:33:09.536796+00:00,317
7,Switching to GMO free food? 🥦 Discover why some people believe it leads to health improvements and the facts about GMO food. Check out this article!,,,,False,False,4,"['GMO', ' nomutantfood', ' neutral']",2024-06-09 17:33:09.653530+00:00,2024-06-09 17:33:09.653530+00:00,403
8,Medicare provides essential healthcare for those in need. Let s support it! ❤️,,,,False,False,2,"['MedicareScam', ' PositiveImpact']",2024-06-09 17:33:09.766084+00:00,2024-06-09 17:33:09.766084+00:00,62
9,Taxes on the rich hurt everyone. We need to rethink our approach! 😡,,,,False,False,3,"['TaxThePoor', ' RichNeedLessTaxes', ' Negative']",2024-06-09 17:33:09.875045+00:00,2024-06-09 17:33:09.875045+00:00,267
10,Poll: Are GMOs safe for human consumption? 🌽🧪👨‍🔬🍽️,,,,False,False,4,"['GMOs', ' safety', ' healthy', ' food', ' consumption', ' poll', ' positive']",2024-06-09 17:33:09.985097+00:00,2024-06-09 17:33:09.985097+00:00,389
11,What are the long term impacts of humans eating meat from animals fed GMO food crops? Scientists should conduct more thorough testing on toxin concentration in the food chain.,,,,False,False,4,"['GMO', ' NoMutantFood', ' neutral']",2024-06-09 17:33:10.094002+00:00,2024-06-09 17:33:10.094002+00:00,34
12,The use of GMOs in Colombia is a threat to our food security and the environment. It s time to stand up against this harmful practice! 🛡️🌍,,,,False,False,4,['StopGMOs'],2024-06-09 17:33:10.211546+00:00,2024-06-09 17:33:10.211546+00:00,369
13,"Eating GMO foods can contribute to the growing problem of antibiotic resistance in humans, as some GMO foods contain genes to make them antibiotic resistant. This can have a long term impact on human health!",,,,False,False,4,"['GMO', ' NoMutantFood', ' positive']",2024-06-09 17:33:10.323808+00:00,2024-06-09 17:33:10.323808+00:00,223
14,Discover the advantages of GMOs in Colombia! 🌿🇨🇴,,,,False,False,4,"['GMOs', ' Colombia', ' advantages']",2024-06-09 17:33:10.435385+00:00,2024-06-09 17:33:10.435385+00:00,275
15,"By embracing genetically modified food, we can ensure a brighter future for food production and resource conservation! 🌱🌽",,,,False,False,4,"['GMFoods', ' Positive']",2024-06-09 17:33:10.544770+00:00,2024-06-09 17:33:10.544770+00:00,280
16,Is a wealth tax really necessary? 🤔 It may not be the most efficient solution.,,,,False,False,3,[],2024-06-09 17:33:10.661938+00:00,2024-06-09 17:33:10.661938+00:00,224
17,"As a supporter of wealth taxes, I m genuinely interested in hearing the opposing viewpoints. Can anyone shed some light?  🤔",,,,False,False,3,['WealthTaxDiscussion'],2024-06-09 17:33:10.776388+00:00,2024-06-09 17:33:10.776388+00:00,317
18,Why is America keeping our health care system intact that is obviously broken? Not hating on ObamaCare but the whole American system doesn t work for all. 😊,,,,False,False,2,['positive'],2024-06-09 17:33:10.885026+00:00,2024-06-09 17:33:10.885026+00:00,333
19,Dependent on your job for healthcare? It s time for a change. Universal healthcare or a complete reform is the way forward.   😖,,,,False,False,2,"['healthcare', ' universalhealthcare']",2024-06-09 17:33:11.000234+00:00,2024-06-09 17:33:11.000234+00:00,349
20,The wealthy play a crucial role in helping our world. Let s not burden them with taxes.  🌎💪,,,,False,False,3,['WeNeedTheRich'],2024-06-09 17:33:11.113948+00:00,2024-06-09 17:33:11.113948+00:00,215
21,GMOs have a negative impact on farmers. Contamination can lead to economic losses and rejection from export markets. Let s support farmers and find sustainable alternatives.,,,,False,False,4,"['GMO', ' negative']",2024-06-09 17:33:11.221372+00:00,2024-06-09 17:33:11.221372+00:00,136
22,"Universal healthcare sounds good in theory, but in reality, it s a bureaucratic nightmare. We need a better solution that doesn t sacrifice quality for everyone.   😔",,,,False,False,2,"['healthcare', ' negative']",2024-06-09 17:33:11.332066+00:00,2024-06-09 17:33:11.332066+00:00,287
24,When leaders don t wear mask it sends the wrong message. Control of COVID 19 begins at the top.  😷,,,,False,False,0,['wearamask'],2024-06-09 17:33:11.559022+00:00,2024-06-09 17:33:11.559022+00:00,277
25,Enough is enough! The government needs to stop meddling in our lives and let us make our own choices. 😤,,,,False,False,0,"['government', ' COVID19', ' coronavirus', ' negative']",2024-06-09 17:33:11.671714+00:00,2024-06-09 17:33:11.671714+00:00,182
26,"Stabilizing medical care is a priority for Biden, as it will enable everyone to participate, engage more doctors, and foster collaboration.",,,,False,False,2,"['MedicareCARES', ' neutral']",2024-06-09 17:33:11.784481+00:00,2024-06-09 17:33:11.784481+00:00,291
27,"Amidst the difficulties caused by the coronavirus outbreak, let s focus on the acts of kindness and resilience that are happening every day. Together, we can make a difference and bring positivity to these challenging times. 🌟",,,,False,False,0,"['PositiveEnergy', ' COVID19']",2024-06-09 17:33:11.896947+00:00,2024-06-09 17:33:11.896947+00:00,50
28,"Taxing real estate is a fantastic idea! It tackles grifting and speculation, while generating revenue for the economy. Let s embrace this positive step towards a fairer system! 🌈🏢",,,,False,False,3,"['PositiveChange', ' TaxRealEstate']",2024-06-09 17:33:12.012961+00:00,2024-06-09 17:33:12.012961+00:00,51
29,Feeling frustrated with the COVIDiotic restrictions imposed by the government. It s disheartening to see the focus on restrictions rather than the effectiveness of the new COVID vaccine testing. 😞,,,,False,False,0,"['COVIDioticRestrictions', ' negative']",2024-06-09 17:33:12.122553+00:00,2024-06-09 17:33:12.122553+00:00,357
1744,Is there anyone else here?,,,,False,False,2,['medicare'],2024-06-15 13:10:10.364000+00:00,2024-06-15 13:10:10.378000+00:00,301
30,This pandemic is showing how important it is for the wealthiest Americans to pay their fair share. The wealth gap is staggering.  💰💪,,,,False,False,3,['payyourshare'],2024-06-09 17:33:12.235025+00:00,2024-06-09 17:33:12.235025+00:00,389
31,The US reported 1075 COVID related deaths yesterday. We need to come together and find a solution to this crisis. 🙏,,,,False,False,0,"['COVID', ' toomany', ' coronavirus']",2024-06-09 17:33:12.349672+00:00,2024-06-09 17:33:12.349672+00:00,283
32,"Despite the challenges, it s inspiring to see how communities are coming together to combat COVID-19. Let s continue to support each other and spread positivity!   💪😃",,,,False,False,0,"['COVID', ' CommunityStrong']",2024-06-09 17:33:12.462174+00:00,2024-06-09 17:33:12.462174+00:00,326
