id,query,createdAt,updatedAt,UserId
1,,2024-06-10 13:49:06.523000+00:00,2024-06-10 13:49:06.523000+00:00,301
2,QuintonGodsell,2024-06-10 13:49:41.919000+00:00,2024-06-10 13:49:41.919000+00:00,301
3,marmyla,2024-06-10 14:55:54.884000+00:00,2024-06-10 14:55:54.884000+00:00,91
4,conniebarker,2024-06-10 17:19:24.434000+00:00,2024-06-10 17:19:24.434000+00:00,301
5,conniebarker,2024-06-10 17:19:35.087000+00:00,2024-06-10 17:19:35.087000+00:00,301
6,lgbtq,2024-06-10 18:43:46.878000+00:00,2024-06-10 18:43:46.878000+00:00,119
7,gay,2024-06-10 18:43:53.674000+00:00,2024-06-10 18:43:53.674000+00:00,119
8,poor,2024-06-10 18:43:56.830000+00:00,2024-06-10 18:43:56.830000+00:00,119
9,black,2024-06-10 18:43:59.808000+00:00,2024-06-10 18:43:59.808000+00:00,119
10,medicare,2024-06-10 18:44:05.097000+00:00,2024-06-10 18:44:05.097000+00:00,119
11,giraffe,2024-06-10 18:53:01.191000+00:00,2024-06-10 18:53:01.191000+00:00,119
12,hi,2024-06-10 21:14:31.444000+00:00,2024-06-10 21:14:31.444000+00:00,13
13,RhainRyder,2024-06-10 22:02:45.825000+00:00,2024-06-10 22:02:45.825000+00:00,256
14,ERVicSli,2024-06-10 22:04:06.003000+00:00,2024-06-10 22:04:06.003000+00:00,297
15,HowCanOneKnow,2024-06-10 22:07:54.180000+00:00,2024-06-10 22:07:54.180000+00:00,323
16,dulceArt,2024-06-10 22:10:00.436000+00:00,2024-06-10 22:10:00.436000+00:00,307
17,_nuthan,2024-06-10 22:11:15.179000+00:00,2024-06-10 22:11:15.179000+00:00,311
18,HowCanOneKnow,2024-06-10 22:49:25.944000+00:00,2024-06-10 22:49:25.944000+00:00,285
19,Medicare for all,2024-06-11 00:39:39.100000+00:00,2024-06-11 00:39:39.100000+00:00,165
20,Medicare,2024-06-11 00:39:44.869000+00:00,2024-06-11 00:39:44.869000+00:00,165
21,,2024-06-11 00:42:26.116000+00:00,2024-06-11 00:42:26.116000+00:00,165
22,cancer,2024-06-11 13:38:38.670000+00:00,2024-06-11 13:38:38.670000+00:00,3
23,gmo,2024-06-11 13:38:43.510000+00:00,2024-06-11 13:38:43.510000+00:00,3
24,GMO,2024-06-11 13:53:37.393000+00:00,2024-06-11 13:53:37.393000+00:00,166
25,i7fae4c8ba,2024-06-11 16:27:29.283000+00:00,2024-06-11 16:27:29.283000+00:00,242
26,Ancientbob,2024-06-11 16:27:51.774000+00:00,2024-06-11 16:27:51.774000+00:00,242
27,nwinemiller91,2024-06-11 16:29:06.194000+00:00,2024-06-11 16:29:06.194000+00:00,298
28,mmaureen7,2024-06-11 16:34:20.644000+00:00,2024-06-11 16:34:20.644000+00:00,364
29,Marmyla,2024-06-11 16:34:49.137000+00:00,2024-06-11 16:34:49.137000+00:00,364
30,QuintonGodsell,2024-06-11 16:35:43.410000+00:00,2024-06-11 16:35:43.410000+00:00,373
31,AlexaAdams12,2024-06-11 16:35:56.245000+00:00,2024-06-11 16:35:56.245000+00:00,373
32,ShadowDogDesign,2024-06-11 16:37:22.398000+00:00,2024-06-11 16:37:22.398000+00:00,379
33,lili_shtupp,2024-06-11 16:37:56.541000+00:00,2024-06-11 16:37:56.541000+00:00,328
34,MSTwitir3K,2024-06-11 16:38:13.193000+00:00,2024-06-11 16:38:13.193000+00:00,328
35,mariojoseh555,2024-06-11 16:39:16.661000+00:00,2024-06-11 16:39:16.661000+00:00,29
36,bananasinhavana,2024-06-11 16:39:40.339000+00:00,2024-06-11 16:39:40.339000+00:00,29
37,agnew122,2024-06-11 16:40:29.443000+00:00,2024-06-11 16:40:29.443000+00:00,301
38,direngreyno1,2024-06-11 16:41:07.123000+00:00,2024-06-11 16:41:07.123000+00:00,301
39,Happy2BNana,2024-06-11 16:42:25.809000+00:00,2024-06-11 16:42:25.809000+00:00,347
40,bananasinhavana,2024-06-11 16:42:39.772000+00:00,2024-06-11 16:42:39.772000+00:00,347
41,kimberlyanne68,2024-06-11 16:43:44.954000+00:00,2024-06-11 16:43:44.954000+00:00,101
42,kimberlyanne68,2024-06-11 16:44:37.200000+00:00,2024-06-11 16:44:37.200000+00:00,292
43,FBondegard,2024-06-11 16:50:45.445000+00:00,2024-06-11 16:50:45.445000+00:00,375
44,mktsutherland,2024-06-11 16:50:58.905000+00:00,2024-06-11 16:50:58.905000+00:00,375
45,rev8056,2024-06-11 16:51:42.983000+00:00,2024-06-11 16:51:42.983000+00:00,246
46,gn2fqqj4ws,2024-06-11 16:52:00.530000+00:00,2024-06-11 16:52:00.530000+00:00,246
47,lapham923,2024-06-11 16:53:19.858000+00:00,2024-06-11 16:53:19.858000+00:00,362
48,SandraSBreen,2024-06-11 16:53:33.219000+00:00,2024-06-11 16:53:33.219000+00:00,362
49,Sleeplss_Dreams,2024-06-11 16:54:16.245000+00:00,2024-06-11 16:54:16.245000+00:00,184
50,DastarLegend19,2024-06-11 16:54:47.820000+00:00,2024-06-11 16:54:47.820000+00:00,184
51,gn2fqqj4ws,2024-06-11 16:55:17.161000+00:00,2024-06-11 16:55:17.161000+00:00,184
52,ShadowDogDesign,2024-06-11 16:55:53.975000+00:00,2024-06-11 16:55:53.975000+00:00,354
53,QuintonGodsell,2024-06-11 16:56:22.782000+00:00,2024-06-11 16:56:22.782000+00:00,354
54,yingeli,2024-06-11 16:58:30.870000+00:00,2024-06-11 16:58:30.870000+00:00,229
55,Sleeplss_Dreams,2024-06-11 16:58:51.734000+00:00,2024-06-11 16:58:51.734000+00:00,229
56,TheBossGent,2024-06-11 17:00:14.703000+00:00,2024-06-11 17:00:14.703000+00:00,338
57,mariojoseh555,2024-06-11 17:00:28.264000+00:00,2024-06-11 17:00:28.264000+00:00,338
58,bananasinhavana,2024-06-11 17:02:48.341000+00:00,2024-06-11 17:02:48.341000+00:00,344
59,marylispastit,2024-06-11 17:03:08.806000+00:00,2024-06-11 17:03:08.806000+00:00,344
60,_AXIIV,2024-06-11 17:03:43.273000+00:00,2024-06-11 17:03:43.273000+00:00,95
61,Mikeallenswing,2024-06-11 17:04:00.031000+00:00,2024-06-11 17:04:00.031000+00:00,95
62,Mikeallenswing,2024-06-11 17:04:54.819000+00:00,2024-06-11 17:04:54.819000+00:00,202
63,ShahSha34773753,2024-06-11 17:05:13.440000+00:00,2024-06-11 17:05:13.440000+00:00,202
64,John28500101,2024-06-11 17:06:07.148000+00:00,2024-06-11 17:06:07.148000+00:00,286
65,GraficallyFrozn,2024-06-11 17:07:01.345000+00:00,2024-06-11 17:07:01.345000+00:00,191
66,John28500101,2024-06-11 17:07:51.480000+00:00,2024-06-11 17:07:51.480000+00:00,118
67,health,2024-06-11 17:29:25.074000+00:00,2024-06-11 17:29:25.074000+00:00,165
68,fashion,2024-06-11 17:29:46.501000+00:00,2024-06-11 17:29:46.501000+00:00,165
69,fashtion,2024-06-11 17:29:55.717000+00:00,2024-06-11 17:29:55.717000+00:00,165
70,health,2024-06-11 17:30:05.443000+00:00,2024-06-11 17:30:05.443000+00:00,165
71,health,2024-06-11 17:31:01.678000+00:00,2024-06-11 17:31:01.678000+00:00,165
72,explore,2024-06-11 17:33:33.725000+00:00,2024-06-11 17:33:33.725000+00:00,236
73,i7fae4c8ba,2024-06-11 17:47:14.190000+00:00,2024-06-11 17:47:14.190000+00:00,292
74,i7fae4c8ba,2024-06-11 17:49:21.013000+00:00,2024-06-11 17:49:21.013000+00:00,264
75,i7fae4c8ba,2024-06-11 17:49:53.169000+00:00,2024-06-11 17:49:53.169000+00:00,118
76,MSTwitir3K,2024-06-11 17:51:11.165000+00:00,2024-06-11 17:51:11.165000+00:00,311
77,lili_shtupp,2024-06-11 17:53:04.357000+00:00,2024-06-11 17:53:04.357000+00:00,248
